0000309600相変わらず あいかわらず 依然，照旧，与从前一样    0005260 副 ⓪
0000911600アイス アイス 冰    0010957 接頭
0001238800合図 あいず 信号，暗号    0013859 名自動3 ①
0001662300アイデア アイデア 想法，主意    0018341 名 ③①
0002161600アイドル アイドル 偶像，被人崇拜的对象    0023116 名 ①
0002654900あいにく あいにく 不凑巧，实际情况与期望或目标不符；不合时机    0027976 副ナ形 ⓪
0003452500アイロン アイロン 熨斗    0036185 名 ⓪
0003744900アウト アウト 外侧，外部，出界，出局    0039281 名 ①
0004417600煽ぐ あおぐ 扇风，使起风    0045991 他動1 ②
0004870300青白い あおじろい 青白色的，苍白的    0051287 イ形 ⓪④
0005439000赤字 あかじ 赤子，亏空    0055728 名 ⓪
0005814800上がる あがる 登，攀爬，(地位，价格等)提高，上升；完成，结束，紧张，怯场；“吃，喝”的尊敬语，“去，拜访”的自谦语    0059482 自他動1 ⓪
0007438200~上がる ~あがる (接在动词连用形后)向上…;表示完成或结束    0076069 接尾
0008020300空き あき 间隙，空格，空闲，空当；空缺    0081069 名 ⓪
0008688600空き~ あき~ 空的，无内容的；空闲的，闲置的    0088386 接頭
0009350700飽きっぽい あきっぽい 没长性的，容易厌烦的    0094900 イ形 ④
0009805500呆れる あきれる 惊呆，因意外而不知所措    0099747 自動2 ⓪
0010360700悪 あく 恶，坏    0105438 名 ①
0010717600悪影響 あくえいきょう 不良影响    0108604 名 ③
0011020500握手 あくしゅ 握手    0112118 名自動3 ①
0011317300アクセス アクセス 访问，连接；存取；通道，指交通的便利性    0115437 名自動3 ①
0012190300欠伸 あくび 哈欠    0122562 名 ⓪
0012399900悪魔 あくま 恶魔，魔鬼    0125227 名 ①
0012770900あくまで あくまで 无论如何也…;彻底地    0129321 副
1013264400明くる あくる 下一个，第二个，次，翌    0135228 連体 ⓪
1013959900明け方 あけがた 黎明，拂晓，天亮时分    0141585 名 ⓪
0014580000空ける あける 空出，空开，腾出空间；抽空；不在家，出门    0147405 他動2 ⓪
1015550700憧れ あこがれ 憧憬，向往    0157406 名 ⓪
1016014700憧れる あこがれる 憧憬，向往    0162227 自動2 ⓪
0016477300朝飯 あさめし 早餐，早饭(是俗语，【飯】是较为粗鲁的男性用语    0166902 名 ⓪
0017016400朝夕 あさゆう 早晨和晚上；朝夕，终日    0171665 名 ①
0017631700足跡 あしあと 足迹，脚印，踪迹    0178010 名 ③
0018183200味わう あじわう 品尝，品味；鉴赏，把玩；体验，(亲身)经历    0183706 他動1 ③⓪
0019077900暖か あたたか 温的，暖和的；温馨的，热情的    0193150 ナ形 ③②
0019791300悪化 あっか (状态，病情等)恶化，变差    0199336 名自動3 ⓪
0020214700厚かましい あつかましい 不客气的，厚颜无耻的    0203927 イ形 ⑤
0020730000圧縮 あっしゅく 压缩，压榨；缩短文章，字句；缩减    0209197 名他動3 ⓪
0021540300アップ アップ 上涨，上升；提高    0217518 名自他動3 ⓪
0022051600圧力 あつりょく 压力    0222616 名 ②
0022410200~宛て ~あて 寄往…;送往…    0225754 接尾
0022795000当て嵌まる あてはまる 符合(一定的)条件，相匹配    0229985 自動1 ④
0023345000当て嵌める あてはめる 适用，使符合    0235093 他動2 ④
0023819500当てる あてる 打中，碰上；贴紧，使…接触；晒；中奖；猜测    0239839 他動2 ⓪
0024865500跡 あと 踪迹，足迹；痕迹；行踪，下落    0249785 名 ①
1025571500後片付け あとかたづけ 整理，善后    0257932 名他動3 ③
0026056200穴 あな 洞穴；窟窿，破洞；缺点；损失，亏空    0262701 名 ②
1026962600暴れる あばれる 胡闹，轮闹；大显身手，轰轰烈烈地进行某项行为    0271820 自動2 ⓪
0027854000浴びる あびる 淋，淋浴；照晒；遭受    0279878 他動2 ⓪
