2000395900一方 いっぽう 一个方向，一个方面；越来越…;一边…一边…    0005781 名 ③
0001278900移転 いてん 搬家，乔迁；转移，转让    0014385 自動3 ⓪
2001904200緯度 いど 维度    0020294 名 ①
0002174300居眠り いねむり 打盹儿，打瞌睡    0022910 名自動3 ③
0002507500祈り いのり 祈祷    0026976 名 ③
0002954600威張る いばる (气焰)嚣张，摆架子，飞扬跋扈    0030548 自動1 ②
0003451000いびき いびき 呼噜，喊声    0035600 名 ③
2003811600衣服 いふく 衣服，衣物    0039793 名 ①
2004186100今一 いまいち 差一点，再加把劲    0043562 副 ②
2004626300今更 いまさら 事到如今，事已至此；再次，重新    0047709 副 ①⓪
2005334200今時 いまどき 现今，如今，现在，这个时候    0054477 名 ⓪
2006081000今にも いまにも 眼看，就要    0062779 副 ⓪
2006530300今のところ いまのところ 目前，现阶段    0067487 名 ⓪
2007081800芋 いも 芋，薯，芋头，马铃薯，红薯，山药等的通称    0072761 名 ②
0008064300いやというほど いやというほど 厌烦，腻烦    0082266 副 ②⓪
0008485700意欲 いよく 意愿，热情，积极性    0086389 名 ①
2009031800依頼 いらい 请求，委托，依赖，依靠    0091633 名他動3 ⓪
2009666300イラスト illustration 插图，插画    0098243 名 ⓪
2010115300炒る/煎る いる 炒，煎    0102459 他動1 ①
2010473900衣類 いるい 衣服，衣物    0106346 名 ①
2010939700入れ替える いれかえる 改换，更换，调换    0111557 他動2 ④③
0011496500いわば いわば 说起来，好比是，可谓是    0115777 副 ②⓪
2011948100飲食 いんしょく 饮食，吃喝    0121870 名自他動3 ⓪①
2012416300飲酒 いんしゅ 饮酒，喝酒    0126524 名自動3 ⓪
2012899100飲酒運転 いんしゅうんてん 酒后驾车    0130941 名他動3 ④
2013337700インストール install 安装，使计算机能达到能使用的状态    0134769 名他動3 ④
2013946900引退 いんたい 隐退，退职，退役    0140918 名自動3 ⓪
2014452300インフルエンザ influenza 流行性感冒，流感    0146491 名 ⑤
2014975400インフレ インフレ 通货膨胀，物价上涨    0151394 名 ⓪
2015480500引用 いんよう 引用，借用    0156918 名他動3 ⓪
2015913700飲料 いんりょう 饮料    0160813 名 ③
2016207900引力 いんりょく 引力，相互吸引的力    0164259 名 ①
2016752000ウイルス virus 病毒，计算机病毒    0169510 名 ②
2017315100ウーマン woman 女人，女性，妇女    0175572 名 ①
2017885100ウール wool 羊毛，毛线    0180062 名 ①
2018293700ウェーター waiter 男侍者，男服务员    0185011 名 ②
2018821100ウェートレス waitress 女侍者，女服务员    0189942 名 ②
1019305700植木 うえき 栽种的花木，盆栽的花木    0194427 名 ⓪
