0000406800獲得 かくとく 获得，(通过努力或刻苦而)获取    0005868 名他動3 ⓪
0000847300確立 かくりつ 确立，确定    0009844 名自他動3 ⓪
0001231200確率 かくりつ 概率，几率，可能性    0014100 名 ⓪
0001868300崖 がけ 山崖，悬崖    0019261 名 ⓪
0002214000家計 かけい 生计，家计，维持一家所需的支出与费用    0023982 名 ⓪
0003062100可決 かけつ 赞成，通过    0031923 名自他動3 ⓪
0003421300駆けつける かけつける 急速赶到，奔赴    0036641 自動2 ⓪④
0003924400駆ける かける 奔跑，快跑；骑马奔驰    0040969 自動2 ②
0004515300加減 かげん 调整，调节；…状况，情况    0046277 名他動3 ⓪
0005134600~加減 ~かげん 程度，状况；恰好，表示状态，程度恰到好处    0052708 接尾
0006038000火口 かこう 火山口，喷火口    0061667 名 ⓪④
0006433400下降 かこう 下降，降落，往下落    0065883 名自動3 ⓪
0006988500加工 かこう 加工    0071531 名他動3 ⓪
0007344400重ねて かさねて 重复地，再三，反复    0075111 副 ⓪
0007869700貸し かし 借贷，出借；(施与他人的恩惠等)可期待得到的回报    0079936 名 ⓪
0008706900貸し出し かしだし 贷出，出借(银行等)放款，贷款    0088397 名 ⓪
0009295400貸し出す かしだす 出借，借给；放贷，贷款    0094616 他動1 ③
0009962200過失 かしつ 过失，由于不注意等而招致的失败    0100779 名 ⓪
0010562900果実 かじつ 果实，收益，从原物产出的经济效益    0106994 名 ①
0011250200貸間 かしま 出租的房间，租借给他人并收取租金的房屋    0114349 名 ⓪
0012012200貸家 貸家 出租的房间，租借给他人并收取租金的房屋    0121638 名 ⓪
0012756400過剰 かじょう 过剩，过多，超过合适的程度    0129075 名ナ形 ⓪
0013386900かじる かじる 咬，啃；对事物一知半解，略懂一二    0135564 他動1 ②
0014147000課税 かぜい 课税，向个人和法人征收税金    0142877 名他動3 ⓪
0014792400下線 かせん 下划线    0149217 名 ⓪
0015112100加速 かそく 加速，体块速度    0153005 名自他動3 ⓪
0015618200加速度的 かそくどてき 加速，步伐，气势等加快    0158104 ナ形 ②③
0016297400型 かた 模型，原型，类型；样式，惯例；(老)规矩    0164910 名 ②
0017198800課題 かだい 课题，工作或学习中的问题，题目；必须解决的问题    0173182 名 ⓪
