0000318300作法 さほう 礼节，礼法，合乎规矩的行为举止    0005007 名 ①
0001066100冷ます さます 弄凉，使…冷却；降低，使平静    0012061 他動1 ②
0001783900妨げる さまたげる 妨碍，阻挠    0019497 他動2 ④
0002210900寂しい さみしい・さびしい 寂寞的，凄凉的；荒凉的，冷清的；空虚的，让人觉得不满足的    0025859 イ形 ③
0003553900ざらざら ざらざら 粗糙，不光滑    0037018 副ナ形 ①
0003981500去る さる 上一个…，已经过去的    0040953 連体
0004433600去る さる (自)离开，离去；消失；距离…;(他)去除，消除；疏远，离别    0045670 自他動1 ①
0005613700~去る ~さる 完全…    0057093 接尾
0005872900~触り ~ざわり 触感，感觉    0060249 接尾
0006327500~産 ~さん …产，产自…    0064407 接尾
0006689600残酷 ざんこく 残忍，残酷，凄惨    0068458 名ナ形 ⓪
0007249200さんざん さんざん 狼狈不堪，凄惨的；严重，厉害    0073729 ナ形 ⓪
0007942300さんざん さんざん 严重地，厉害地    0080714 副 ③⓪
0008348000産出 さんしゅつ 产出，指能开采出矿物等，也指生产物品    0084762 名他動3 ⓪
0009087900残暑 ざんしょ (立秋后的)余暑，秋老虎    0092299 名 ①
0009527700酸性 さんせい 酸性，酸所具有的性质    0096809 名 ⓪
0010059300酸素 さんそ 氧，化学元素之一，水和空气的组成部分    0101851 名 ⓪
0010819600サンタクロース Santa_Claus 圣诞老人    0110141 名 ⑤
0011291900山地 さんち 山地，山区，多山地块    0114003 名 ⓪
0011861500山頂 さんちょう 山顶，山峰    0119922 名 ⓪
0012333000山腹 さんぷく 山腰，山顶与山麓中间    0124579 名 ⓪
0012850900産婦人科 さんふじんか 妇产科    0130626 名 ⓪
0013258600山林 さんりん 山林    0134206 名 ⓪
0013543400シール seal 密封条；封印；贴纸    0137432 名自動3 ①
0014176100しきりに しきりに 再三，屡次，频繁，不断地    0143726 副 ⓪
0014873700システム system 组织；体系，系统    0150099 名 ①
0015392500静まる しずまる 安静，平静；平息，平定，势头减弱    0154944 自動1 ③
0016253900静める・鎮める しずめる 使…平静，平息；使…安定，平静；镇定    0163853 他動2 ③
0017152800沈める しずめる 使…下沉；使…沦落，沦陷    0173856 他動2 ⓪
0017935500施設 しせつ 设施，设备    0181062 名他動3 ②
0018747200視線 しせん 视线，眼睛所注视的方向    0188960 名 ⓪
0019353900事前 じぜん 事先，事情发生或进行处理之前    0194962 名 ⓪
0020044600思想 しそう 思想，想法；认识，判断，对人生，社会等的见解    0202181 名 ⓪
0021088400時速 じそく 时速，以每小时行进的距离表示的速度    0212590 名 ①⓪
0021844500四則算 しそくざん 四则远算，加减乘除四种运算的总称    0220353 名 ③
0022807900子孫 しそん 子孙，后代，后裔    0229753 名 ①
