0000331600修了 しゅうりょう 完成学业，修完一定的课程    0005154 名他動3 ⓪
0000957400重力 じゅうりょく 重力，广义也指万有引力    0011140 名 ①
0001533200主観 しゅかん 主观；自我，感觉、认识外界的主体    0016890 名 ⓪
0002244100主観的 しゅかんてき 主观的，从主观出发的；以自身观点为主导而非客观、公平地看待事物的    0024019 ナ形 ⓪
0003383900主義 しゅぎ 主义，长久坚持的主张、理论、原则    0035152 名 ①
0004112300熟語 じゅくご 熟语，复合词，惯用句    0042252 名 ⓪
0004647000宿舎 しゅくしゃ 宿舍，集体宿舍    0047838 名 ②
0005150600縮小 しゅくしょう 缩小，缩减    0052736 名自動3 ⓪
0005542900宿命 しゅくめい 宿命，前世注定的难逃的命运    0057046 名 ⓪
0006161000主語 しゅご 主语，句子成分的一种    0062696 名 ①
0006621200主催 しゅさい 主办，举办    0067549 名他動3 ⓪
0007013300取材 しゅざい 取材，采访    0071946 名自動3 ⓪
0007470100趣旨 しゅし 宗旨，主旨    0075885 名 ①
0007892000受賞 じゅしょう 获奖，得奖    0080408 名自他動3 ⓪
0008283600主食 しゅしょく 主食，日常饮食中以谷物为主的食品    0084425 名 ⓪
0009043100主人公 しゅじんこう 主人公，小说、戏剧、事件等的中心人物    0092357 名 ②
0009869600主題 しゅだい 主题，大标题；作品的中心思想    0099874 名 ⓪
0010527800出現 しゅつげん 出现，显现出来    0106648 名自動3 ⓪
0010969900述語 じゅつご 谓语，句子成分的一种，对主语进行陈述的项    0111646 名
0011796900出場 しゅつじょう 出场；退场，出站    0119603 名自動3 ⓪
0012337400出生 しゅっしょう 出生，诞生    0125394 名自動3 ⓪
0012816900出世 しゅっせ 出世，出生；(获得)成功，出人头地    0129865 名自動3 ⓪
0013558200出世作 しゅっせさく 成名作，(某人)第一部被社会认可的作品    0137470 名 ③
0014261700出生 しゅっせい 出生，诞生    0144241 名自動3 ⓪
0014705100出席 しゅっせき 出席，到场    0149154 名自動3 ⓪
0015198600主役 しゅやく 主要职务，主要人物；(电视、电影等的)主角，主演    0153489 名 ⓪
0015953000受話器 じゅわき 听筒    0161281 名 ②
0016319700準~ じゅん~ 准…;次于…,好比…    0165251 接頭
0016953200瞬間 しゅんかん 瞬间，转眼即过的一时    0170933 名 ⓪
0017510500循環 じゅんかん 循环    0176537 名自動3 ⓪
0017850200準急 じゅんきゅう [準急行列車]的缩略，[快速]的旧称，准快车，普通快车，仅次于快车的列车    0179939 名 ⓪
0019200900準決勝 じゅんけっしょう 半决赛    0194084 名 ③
0019591700順々に じゅんじゅんに 按顺序，依次    0197750 副
0020059300純情 じゅんじょう 纯情，纯洁，天真    0202515 名ナ形 ⓪
0020657900純粋 じゅんすい 纯粹    0207994 名ナ形 ⓪
0020995300~署 ~しょ …机关，官署    0211284 接尾
0021375300諸~ しょ~ 诸…,各种各样，形形色色    0214526 接頭
0021906900助~ じょ~ 帮忙，帮助，援助；副(的),辅助(的)    0220033 接頭
0022658900女~ じょ~ 女人，女性，女…    0227866 接頭
0023165100~章 ~しょう 徽章，图章；章节，用来计算文章段落等的量词    0233024 接尾
0024077300仕様 しよう 方式，方法    0242183 名 ⓪
0024469500賞 しょう 褒奖，赞赏；奖赏，奖品    0245739 名 ①
0025193700~賞 ~しょう …奖    0253213 接尾
0025468000~省 ~しょう …省(行政区划);部，日本指中央政府的官厅    0255799 接尾
0026143100～商 ～しょう ...商人,做生意的人    0262547 接尾
0026607100~勝 ～しょう 胜，计算胜利次数的量词    0267447 接尾
0027200700～状 ～じょう 字条，信件；形态，状态    0273783 接尾
0028000700~錠 ~じょう (装在门窗或抽屉上的)锁；(圆形)药片，计算药片的量词    0281146 接尾
0028634300上映 じょうえい 上映，放映    0287372 名他動3 ⓪
0029011500省エネ しょうえね 节省能源    0291945 名 ⓪
0029410100消化 しょうか 消化    0295323 名他動3 ⓪
0029726400消火 しょうか 消防，灭火    0299032 名自動3 ⓪
0030169300障害 しょうがい 妨碍物，障碍；毛病，故障    0303356 名 ⓪
0030829900障害者 しょうがいしゃ 残疾人    0310352 名 ③
0031200700障害児 しょうがいじ 残障儿童，在身体或心理方面存在某些障碍的孩子    0314069 名 ③
0032185500将棋 しょうぎ 将棋，由两个人进行对弈    0323130 名 ⓪
0032746800定規 じょうぎ 规尺，制图工具；标准，尺度，规则    0329606 名 ①
0033670400小規模 しょうきぼ 小规模    0338896 名ナ形 ③
0034081100上京 じょうきょう 进京，从地方到京城去，现指去东京    0342980 名自動3 ⓪
0034906600賞金 しょうきん 赏钱，奖金    0350058 名 ⓪
0035302400常勤 じょうきん 专职，固定工作    0354237 名自動3 ⓪
0035747500上下 じょうげ 上和下；身份高的人与身份低的人；上下移动；向上或向下    0359218 名自他動3 ①
