0000259100人権 じんけん 人权    0003774 名 ⓪
0000541600人件費 じんけんひ 人员开支，劳务支出的各项经费的总称    0007269 名 ③
0001260600進行 しんこう 进行，前进，使…前进    0014014 名自動3 ⓪
0001824900信仰 しんこう 信仰，相信    0019800 名他動3 ⓪
0002236500人工林 じんこうりん 人造树林    0024603 名 ③
0002647100新婚 しんこん 新婚    0028118 名 ⓪
0003122100審査 しんさ 审查，评判是否合格或优劣    0032579 名他動3 ①
0003749900震災 しんさい 地震造成的灾害    0038748 名 ⓪
0004263200紳士 しんし 绅士，有教养、懂礼貌的男性的敬称    0044005 名 ⓪
0005056500信者 しんじゃ 信徒    0051621 名 ①
0005341600人種 じんしゅ 人种，种族；按某一方面差异(职业、生活习惯等)分类形成的具有某方面共同特征的种群    0054710 名 ⓪
0006427700進出 しんしゅつ 进入，进到；打入，向…发展，扩张，进军    0065377 名自動3 ⓪
0007277600心身 しんしん 身心    0074367 名 ①
0007576200新人 しんじん 新人，新踏入社会的人；新成员    0077280 名 ⓪
0008234500人身事故 じんしんじこ 人身事故，伤亡事故，特指交通事故    0083819 名 ⑤
0008900000申請 しんせい 申请    0090136 名他動3 ⓪
0009169800人造 じんぞう 人造，人工制造    0092816 名 ⓪
0009570700親族 しんぞく 亲戚，有血缘关系的人    0097121 名 ①⓪
0010095800身体 しんたい 身体，躯体    0102394 名 ①
0010465900寝台 しんだい 床铺，卧铺    0105853 名 ⓪
0010847100人体 じんたい 人体，人的身体    0109715 名 ①
0011284300進度 しんど 进度，进展的程度    0114132 名 ①
0011723300振動 しんどう 振动，摆动，使…摆动    0118790 名 ⓪
0012304000震動 しんどう 震动    0124431 名自動3 ⓪
0012600000侵入 しんにゅう 侵入，非法进入；入侵，侵略    0127483 名自動3 ⓪
0013232800新入生 しんにゅうせい 新生，新入学的学生    0134197 名 ⓪
0013764900心配事 しんぱいごと 心事，担忧、为难的事情    0139337 名 ⓪
0014335500審判 しんぱん 审判，对案件的审理、判决；裁判，在体育比赛中判定胜负、犯规等    0144759 名 ⓪
0015484500人文 じんぶん 人文  ，人与文化，人类的文化与文明  0156501 名 ⓪
0016188000シンボル symbol 象征，根据惯例约定俗称的符号    0163092 名 ①
0016818500人命 じんめい 人命，人的性命    0169495 名 ⓪
0017208800深夜 しんや 深夜，三更半夜    0173122 名 ①
0017618600心理学 しんりがく 心理学    0177454 名 ③
0017934100侵略 しんりゃく 以武力或经济等各种手段侵犯他国    0180521 名他動3 ⓪
0018670300診療 しんりょう 诊疗，治疗    0187784 名他動3 ⓪
0019054300進路 しんろ 前进的方向、道路；(人)将来发展的方向，前途    0191850 名 ①
0019816200針路 しんろ 罗盘所指的方向，方位点；航线，航行的方向    0199155 名 ①
0020580500新郎新婦 しんろうしんぷ 新郎新娘    0207627 名 ⑤
0020999100神話 しんわ 神话    0211450 名 ⓪
0021313000巣 す 巢，穴，(鸟兽等的)窝；人的住处；巢穴，贼窝，坏蛋聚集的地方    0214177 名 ①⓪
0022443400水準 すいじゅん 水准；标准，水平    0225534 名 ⓪
0022932100推薦 すいせん 推荐，推举    0231090 名他動3 ⓪
0023361000水素 すいそ 氢，最轻的化学元素    0235569 名 ①
0023934100推測 すいそく 推测，猜测    0241028 名他動3 ⓪
0024346700垂直 すいちょく 垂直，铅直，笔直下垂    0245549 名ナ形 ⓪
0025009500推定 すいてい 推定，推断；设想，假设；估计    0251806 名他動3 ⓪
0025751400水滴 すいてき 水滴，水珠    0259138 名 ⓪
0026176200水筒 すいとう 水桶，水壶，盛水的容器    0262946 名 ⓪
0026784700随筆 ずいひつ 随笔，漫笔，散文    0269505 名 ⓪
0027339000水平 すいへい 水平，与重力呈垂直的方向；普通，一般水平    0274986 名ナ形 ⓪
0028161500水平線 すいへいせん 水平线，与水平面平行的直线；地平线    0283218 名 ⓪
0028906600水面 すいめん 水面，水的表面    0290437 名 ⓪
0029347700数～ すう～ 数个…,若干    0294834 接頭
0029791500数詞 すうし 数词    0299123 名 ⓪
0030092800図々しい ずうずうしい 脸皮厚，满不在乎的，厚颜无耻的    0303037 イ形 ⑤
0030816300ずうっと ずうっと ずっと的强调说法，很久，很长(时间);从头到尾，始终；远比…更…    0309784 副 ⓪
0031941300末っ子 すえっこ 同胞兄弟中最小的那个，老小，老幺    0320895 名 ⓪
