0000298700大臣 だいじん 大臣，国务大臣    0003980 名 ①
0000673000大豆 だいず 大豆，黄豆，酱油、豆油等的原料    0007717 名 ①
0001275400体制 たいせい 体制，体系，制度    0013922 名 ⓪
0001720000大戦 たいせん 大战，大规模战争；世界大战    0018275 名 ⓪
0002254700対戦 たいせん 对战，交锋，比赛    0023756 名自動3 ⓪
0002756000大層 たいそう 很，非常；夸张，夸大    0028927 副ナ形 ①
0003334000体調 たいちょう 身体状况，状态    0034694 名 ⓪
0003792900タイトル title 标题，题目；头衔，称号；字幕    0039373 名 ①
0004543800大半 たいはん 大半，过半，大部分    0046678 名 ⓪③
0005080000タイプスト typist 打字员，以使用打字机打印文书为职业的人    0052587 名 ③
0005845800大病 たいびょう 大病，重病    0059451 名 ①
0006221800タイプライター typewriter 打字机    0064313 名 ③
0006631000大便 だいべん 大便，(人)由肛门排泄的食物残渣    0068258 名 ③
0007304400逮捕 たいほ 逮捕，拘捕；刑事拘留    0074116 名他動3 ①
0007810200大木 たいぼく 大树，巨树    0079318 名 ⓪
0008221000題名 だいめい 题目，标题，作品等的名称    0083581 名 ⓪
0008772000代名詞 だいめいし 代词，词类之一，日语中无活用变化的自立词；典型，代表性事物    0089461 名 ③
0009819100タイヤ tire/tyre 轮胎    0099498 名 ⓪
0010124000ダイヤ・ダイヤグラム diagram 行车时刻表，列车运行时刻表    0102671 名 ⓪
0010710700ダイヤ・ダイヤモンド diamond 钻石，金刚石，金刚钻；(扑克牌中的)方块    0107988 名 ①
0011335600ダイヤル dial 刻度盘，表盘；(电话、收音机等)拨号盘，拨号    0115081 名 ①⓪
0012069600代理 だいり 代理，代替本人处理事物    0121778 名他動3 ⓪
0012574100対立 たいりつ 对立，站在不同立场上产生冲突    0127083 名自動3 ⓪
0013184700体力 たいりょく 体力，维持身体各项机能正常运行的能力    0133749 名 ①
0013867200田植え たうえ 插秧，把秧苗移植到水田里    0139965 名 ③
0014405400ダウン down 下落，下滑，降低；倒下，病倒；出局    0145004 名自他動3 ①
0015207900絶える たえる 断绝，销声匿迹；隔离，疏远；灭亡，死亡    0153381 自動2 ②
0016139700耐える たえる 忍耐，忍受；坚持住；耐…,经得起    0162430 自動2 ②
0016828800楕円形 だえんけい 椭圆形    0170145 名 ⓪
0017173500高～ たか～ 高…    0173380 接頭
