2000242200～内 ～ない …里面，中间    0003328 接尾
2000559200内閣 ないかく 内阁，以内阁总理为首的国务大臣组成的最高政府机关    0007008 名 ①
2001404400内線 ないせん 内线，内部电话分机线    0015153 名 ⓪
2001888900内臓 ないぞう 内脏，动物体腔内器官的总称    0020326 名 ⓪
2002472300内部 ないぶ 内部，里面，内侧；在组织、机构里面的人    0025667 名 ①
2003194800苗 なえ 秧，苗，稻秧    0032695 名 ①
2003612100長生き ながいき 长寿，长命    0037776 名自動3 ⓪④
2004026900長続き ながつづき 持久，长久保持    0042347 名自動3 ③
2004559400半ば なかば 一半，半数(左右);中间，中央，中途    0047196 名 ③⓪②
0005268000長引く ながびく 拖长，延长(时间)    0054220 自動1 ③
2005656700仲良し なかよし 关系亲密的人，好朋友    0058079 名 ②
0006190700慰める なぐさめる 安慰，使…轻松愉快；宽慰，解闷；慰问，慰劳    0063143 他動2 ④
2007073300亡くす なくす 丧失，死去    0071853 他動1 ⓪
0007419200嘆く なげく 忧愁，伤心，惆怅，愤慨    0075454 自他動1 ②
0008020700情けない なさけない 可伶的，悲惨的，可悲可叹，窝囊得令人遗憾    0081723 イ形 ④
2008831500梨 なし 梨    0089505 名 ⓪
0009095700成し遂げる なしとげる 完成，做成，完工    0092190 他動2 ④⓪
0009590200為す なす 做，为；[结尾](接动词连用形后)特意做…,故意做…    0096742 他動1接尾
0010150200成す なす 形成，构成；完成，达到…目标    0102474 名 ①
2010875400謎々 なぞなぞ 谜语，猜谜(游戏)    0109983 名 ⓪
0011245000名付ける なづける 称为…,叫做…;起名，命名    0113707 他動2 ③
0011824900何分 なにぶん 请；某些；不管怎么说，总觉得    0119134 副 ⓪
0012431000なにもかも なにもかも 什么都…,全部，一切    0125307 副 ④
0012908200なにを なにを (说)什么，表示反问的语气尖锐的用语    0130200 感 ③
0013509800名札 なふだ 名牌，写明姓名的标签    0136274 名 ⓪
0013989300生意気 なまいき 骄傲，自大；(年轻)狂妄，争强好胜    0141365 名ナ形 ⓪
0014654100生臭い なまぐさい 腥的，有膻味的，血腥的；无礼的，傲慢的，狂妄的    0147751 イ形 ④
0015547500怠け者 なまけもの 懒人，懒汉    0157413 名 ⓪⑤
0015988200生返事 なまへんじ 含糊的回答，回答的不清不楚，支支吾吾    0161739 名自動3 ③
0016755400並 なみ 普通，一般，平常，处于中等水平    0168513 名 ⓪
0017411600～並み ～なみ 并列，排列；与…同样的程度、水平    0174994 接尾
0018085700悩ます なやます 使…苦恼，烦恼，使…为难，折磨    0182281 他動1 ③
0018831000倣う ならう 模仿，仿效    0189309 他動1 ②
