2000258000排除 はいじょ 排除，去除，除掉    0003767 名他動3 ①
0000747000賠償 ばいしょう 赔偿，补偿所带来的损害或利益等    0008818 名他動3 ⓪
2001349900排水 はいすい 排水，排放的废水；船舶等排出与其沉在水中部分体积相同的水    0014655 名自動3 ⓪
2002321500売買 ばいばい 买卖    0024690 名他動3 ⓪
0002615300パイプ pipe 导管，输送管；起疏通作用的角色、人物等；烟斗，烟嘴    0027547 名 ①
0003541200配慮 はいりょ 关怀，照顾，照料    0036646 名他動3 ①
0004010700パイロット pilot 飞机驾驶员，飞行员    0041483 名 ③①
0004494500墓 はか 坟墓，墓碑    0046159 名 ②
0004880100ばか～ ばか～ 非常，不同寻常，超过正常的度    0049961 接頭
2005418400破壊 はかい 破坏    0055502 名自他動3 ⓪
0005703300剥がす はがす 剥下，揭下    0057821 他動1 ②
0006014800博士 はかせ 博士，学识渊博的人，精通某方面学问的人    0061273 名 ①
0006700800墓参り はかまいり 扫墓，上坟，到墓地去拜祭    0069124 名自動3 ③
0007376300図る はかる 谋求，设法…；图谋，企图…    0074772 他動1 ②
0007919000剥がれる はがれる 剥落，剥下    0080479 自動2 ③
0008376700吐き気 はきけ 反胃，有时会发生呕吐；表示厌恶心情    0085547 名 ③
1009131600はきはき はきはき 干脆，爽快；头脑敏捷    0092523 副自動3 ①
0009651000~泊 ～はく …夜、宿，计算留宿数的量词    0097448 接尾
0010174100莫大 ばくだい 巨大，非常多    0102904 名ナ形 ⓪
0010537700爆弾 ばくだん 炸弹；爆炸性的，令人吃惊的    0106436 名 ⓪
0011096700爆発 ばくはつ 爆炸，爆发    0112511 名自動3 ③
0011471900爆発的 ばくはつてき 爆炸性的，惊人的，急剧性的，爆发式的    0116719 ナ形 ⓪
0012242400迫力 はくりょく 打动人心的力量，感染力    0123632 名 ②⓪
0012724100歯車 はぐるま 齿轮；构成整体的各个要素    0128731 名 ②
0013301200励ます はげます 鼓励，激励；加强，强化    0134538 他動1 ③
0013977200励み はげみ 勉励，鼓舞，勤奋    0140784 名 ③
0014472600派遣 はけん 派遣    0145973 名他動3 ⓪
2014751700派遣社員 はけんしゃいん 派遣职员，指本人不是企业员工，受雇于或登记在人才服务公司，被派遣到有就业需求的企业工作的人    0149721 名 ④
0016181900運び はこび 行走姿态，表现方法；进度，进展状况；程序，阶段    0163504 名 ⓪
0017123900挟む はさむ 插，插入；夹；间隔    0172308 他動1 ②
2017629500破産 はさん 破产；倾家荡产    0177317 名自動3 ⓪
0018006400弾く はじく 弹；迸开，排斥；打(算盘),弹(琴)    0181256 他動1 ②
0018655800梯子 はしご 梯子    0188053 名 ⓪
0018950200パジャマ pajamas 成套睡衣    0190882 名 ①
0019280400斜 はす 倾斜，歪斜    0193832 名 ⓪
0019642900パターン pattern 样品，模本，模型；花样，图样    0197771 名 ②
0020385600肌着 はだぎ 内衣，贴身穿着的衣物    0205290 名 ⓪③
0020873900肌寒い はだざむい 微寒的，秋季肌肤上略感寒意的；毛骨悚然的    0210376 副 ②
0021646100果たして はたして 究竟，到底；果真，真的    0218132 副 ②
0022288400果たす はたす 完成，实现；起到…的作用；[结尾](接动词连用形后)完全…,彻底…    0223852 他動1 ②
0023089500働き者 はたらきもの 有本领的人，干活能手；勤劳的人    0232260 名 ⓪
0023714300鉢 はち 钵，比盘子深，盛东西的容器；花盆    0238161 名 ②
2024363500パチンコ パチンコ 弹球盘，弹子机    0244818 名 ⓪
0024842700初～ はつ～ 初次的，第一次的；当年(或该季节)的第一次    0249025 接頭
0025381000~発 ～はつ 计算子弹(炮弹)的量词；…始发，出发    0254606 接尾
2025958100× ばつ 错误标记，叉    0260437 名 ①
0026355300発揮 はっき 发挥，表现，施展    0264677 名他動3 ⓪
2026831200バック back 后面，背后；背景；支持者，后援，后盾；后退，倒退    0269395 名自動3 ①
