0000234100人込み 人込み 人群，人海，人潮拥挤的地方    0004057 名 ⓪
0000841800等しい ひとしい 相等，完全相同；(性质、状态等)与…完全相似，等同于…    0009654 イ形 ③
0001612600一通り ひととおり 大概，从头到尾粗略…;普通，一般；一种，一个方法    0017934 名副 ⓪
0002575800人通り ひとどおり 行人来来往往    0026956 名副 ⓪⑤
0002934200ひとまず ひとまず 暂且，暂时，总之    0030412 副 ②
0003414000瞳 ひとみ 瞳孔，眸，眼睛    0035092 名副 ⓪
0003840700一目 ひとめ 一眼，看一次，看一眼    0039570 名 ②
0004336700人目 ひとめ 他人的眼光，世人的眼光    0044274 名 ⓪
0004797000独り言 ひとりごと 自言自语    0049674 名 ⓪⑤④
0005169200ひとりでに ひとりでに 自然地，自动地，而非借助外力地    0053059 副 ⑤⓪
0005765800雛祭り ひなまつり 3月3日女儿节    0058809 名 ③
0006197200非難 ひなん 非难，责难，谴责    0063058 名他動3 ①
0006662400避難 ひなん 避难，逃难    0067488 名自動3 ①
0006983200ビニール vinyl 乙烯树脂，塑料薄膜    0071299 名 ②
0007504600ビニールハウス vinyl_house 塑料薄膜温室，塑料大鹏，用于栽培蔬菜、鲜花等    0077183 名 ⑤⓪
0008440200皮肉 ひにく 皮肉，身体；讽刺，挖苦，讥讽；不如意，不凑巧    0085434 名ナ形 ⓪
0009356400皮肉る ひにくる 讽刺，挖苦    0094658 自他動1 ③
0009696700ひねる ひねる 拧，扭；扭转，弯曲，改变方向    0097868 他動1 ②
0010338600日の入り ひのいり 日落，日暮，傍晚太阳西沉的时刻    0104902 名 ⓪
0010972300日の出 ひので 日出，日出时刻    0111050 名 ⓪
0011417200日の丸 ひのまる 太阳旗，日本国旗    0115381 名 ⓪
0011867400響き ひびき 声响；反响，回声，余韵；影响    0119823 名 ③
0012563100響く ひびく 响，发出声响；回响，余音缭绕；影响；扬名，闻名    0126912 自動1 ②
0013560900日増しに ひましに 日益，日趋，日甚一日地    0136975 副 ⓪③
0014117700日焼け ひやけ 日晒，晒黑，因日光照射而褪色；干涸    0142409 名自動3 ⓪
0014859800百科事典 ひゃっかじてん 百科辞典，百科全书，对社会生活中各方面的事项及专门领域的术语进行描述、解说的辞书    0150526 名 ④
0016165600標語 ひょうご 标语，口号，简洁明了的表达目的、主张的短句    0163054 名 ⓪
0016934100表紙 ひょうし 封面，书皮，书本等的最外面一层    0170596 名 ⓪③
0017551400標識 ひょうしき 标志；标记    0176958 名 ⓪
0017935500描写 びょうしゃ 描写，描绘    0180686 名他動3 ⓪
0018314400標準 ひょうじゅん 标准，判断或评价的基准；平均或一般程度；为公正、方便等而制定的统一基准    0184670 名 ⓪
0019469800病状 びょうじょう 病况，病症    0196136 名 ⓪
0019839800標本 ひょうほん 标本，样品，抽样    0200019 名 ⓪
0020340500表面 ひょうめん 表面，物体最外侧；外观，外貌    0204688 名 ③
0020958200表面化 ひょうめんか 表面化，原先不为人知的事情被众所周知    0211080 名自動3 ⓪
0021660800評論 ひょうろん 评论    0217937 名他動3 ⓪
0021956800比率 ひりつ 比率，两个以上数量之间的比    0220821 名 ⓪
0022473500肥料 ひりょう 肥料，使土壤肥沃有助于植物生长的物质    0225941 名 ①
0023168500微力 びりょく 微弱的力量，势单力薄；用于自谦的说法，绵薄之力    0233398 名ナ形 ⓪①
0023980700昼飯 ひるめし 中饭，午饭，较为粗鲁的说法，多为男子使用    0241539 名 ⓪
0024758800比例 ひれい 比例，正比；成比例    0248681 名自動3 ⓪
0025225700披露 ひろう 披露，公布，发表；展示    0253257 名他動3 ①
0025785400披露宴 ひろうえん 为宣布结婚、开店等而举行的宴会    0259104 名 ②
0026354700広々 ひろびろ 开阔，宽敞，辽阔    0264863 副自動3 ③
0026952000品 ひん 货；品格，风度    0271232 名 ⓪
0027472200便 びん 班次；邮寄，邮递    0275425 名 ①
0027890500~便 ～びん 邮寄，邮递    0280006 接尾
0028247000ピン pin 别针，大头针    0283255 名 ①
0028586600貧困 ひんこん 贫困，贫乏    0287106 名ナ形 ⓪
0028974200貧弱 ひんじゃく 贫穷软弱，寒蝉；贫乏，无实质性内容    0290873 名ナ形 ⓪
0029701500品種 ひんしゅ 品种，种类，物种    0298401 名 ⓪
