0000213100ブルー blue 蓝色，青色；忧郁的，无精打采的    0004162 名ナ形 ②
0000905900震わせる ふるわせる 使…颤抖、发抖，使…哆嗦    0010143 他動2 ⓪
0001497400無礼 ぶれい 无礼，没有礼貌    0016005 名ナ形 ①②
0001860300プロ プロフェッショナルprofessional 专门的，职业的，专家    0019536 名 ①
0002311000ブローチ brooch 别针，胸针    0024387 名 ②
0002648800フロント front 正面，前面；问讯处，服务台    0027960 名 ⓪
0003265300文科 ぶんか 文科，人文科学、社会科学学科，文学院    0033457 名 ①
0003942100噴火 ふんか (火山)喷发    0040410 名自動3 ⓪
0004197500分解 ぶんかい 拆开，拆卸；(化合物)分解    0043162 名自他動3 ⓪
0004657600文化財 ぶんかざい 文化遗产    0048074 名 ③
0004964000文芸 ぶんげい 文艺，文学与艺术    0050954 名 ①
0005400400文献 ぶんけん 文献，文件，参考资料    0055143 名 ⓪
0005906700紛失 ふんしつ 遗失，丢失    0060382 名自他動3 ⓪
0006273300噴出 ふんしゅつ 喷出，冒出    0064168 名自他動3 ⓪
0006653800文書 ぶんしょ 文书，文件材料    0067647 名 ①
0007053000噴水 ふんすい 喷水；喷泉，喷水池，喷水装置    0071480 名 ⓪
0007709900分析 ぶんせき 化验，识别；分析    0078198 名他動3 ⓪
0008181500紛争 ふんそう 纷争，纠纷，争执    0083099 名 ⓪
0008678000分担 ぶんたん 分担，分开承担    0088012 名他動3 ⓪
0009089600ふんだんに ふんだんに 充分地，有余地    0092990 副 ⑤①
0009572300分配 ぶんぱい 分配，分发；分担(工作或责任等)    0097268 他動3 ⓪
0010079400分布 ぶんぷ 分布，流传，分散在各处    0101939 名自他動3 ⓪
0010616400文脈 ぶんみゃく 文脉，文理，语境    0107154 名 ⓪
0011042500文明 ぶんめい 文明，开化，文化成果    0111485 名 ⓪
0011555500分野 ぶんや 范围，区域，领域    0116420 名 ①
0011997800分離 ぶんり 分离，分开，隔离    0121084 名自他動3 ⓪
0012459200分量 ぶんりょう 分量，容量，容积    0126421 名 ③
0012994900分類 ぶんるい 分类，(按照一定的标准)对…进行分类    0131443 名他動3 ⓪
0013529200閉会 へいかい 闭会，会议结束，闭幕    0136455 名自他動3 ⓪
0014028100閉館 へいかん 闭馆，(美术馆、图书馆等)结束当天业务；停止开放，停业    0141430 名自他動3 ⓪
0014722300兵器 へいき 兵器，武器    0148508 名 ①
0015091500平行 へいこう 平行    0152096 名自動3 ⓪
0015356500並行 へいこう 并行，并排行走；齐头并进，事情同时进行    0155209 名自動3 ⓪
0016129000閉口 へいこう 闭口不言，默不作声；受不了，束手无策    0162476 名自動3 ⓪
0016792400平行線 へいこうせん 平行线；两个事物始终处于对立状态，各持己见，相持不下    0169550 名 ⓪③
0017697100閉鎖 へいさ 关闭，封闭，封锁    0178357 名他動3 ⓪
0018173300兵士 へいし 士兵，战士，在军队中受军官指挥的人    0182883 名 ①
0018873700ペースト paste 糨糊，糊状食物；(电脑操作的)粘贴    0189990 名 ①⓪
0019402800兵隊 へいたい 士兵，兵卒；部队，军队    0195101 名 ⓪
0019972600平方メートル へいほうメートル 平方米，面积单位    0201259 名 ⓪⑤
0020403300平凡 へいぼん 平凡，普通，没有与众不同之处    0205204 名ナ形 ⓪
0020999200平米 へいべい 平方米，平米    0211376 名 ①
0021390200並列 へいれつ 并列，并排；并联，将同级之间连在一起    0214964 名自他動3 ⓪
0022121900平和 へいわ 平静，和睦，相安无事；和平    0222061 名ナ形 ⓪
0022670800ぺこぺこ ぺこぺこ 点头哈腰，谄媚状；空(腹),(肚子)饿    0227983 副自動3 ①
0023265900ベスト best 最好，最优；全力    0233688 名 ①
0023733300ベストセラー best_seller 最畅销书，在一定时期内销量最好的书    0238635 名 ④
0024378800ベストテン best_ten 十佳，十强，按优秀的顺序排列，(某一方面、领域)的前十名    0245140 名 ③④
0025137300へそ へそ 肚脐；凸起；位于中央的部分，核心，最重要的部分    0252387 名 ⓪
0025984700隔たる へだたる 有距离，隔开，相隔；有差别，有差距；(关系)疏远    0261340 自動1 ③
0026848200別人 べつじん 别人，其他人    0270059 名 ⓪
0027250800ペットボトル pet_bottle PET瓶，用作装饮料的塑料瓶，轻便且不易打碎    0274213 名 ④
0028134100ベテラン veteran 老手，经验丰富的人    0282474 名 ⓪
0028542800~編 ～へん …篇，作品的一部分；…编订，编著    0286603 接尾
0029161200～遍 ～へん …遍，用于计算回数、次数的量词    0292609 接尾
0029730900便 べん 方便，便利；大小便，粪便    0298274 名 ①
0030299700変革 へんかく 变革，改革    0304408 名自他動3 ⓪
0030685200便器 べんき 便器，供大小便使用的器具    0308237 名 ①
0031242300返却 へんきゃく 归还，退还，把借来的物品归还原主、原处    0313747 名他動3 ⓪
0031999200弁護士 べんごし 律师    0321198 名 ③
0032284000返済 へんさい 归还(从别处借来的钱款)，偿还，还债    0324372 名他動3 ⓪
0032834900編集 へんしゅう 编辑，剪辑    0329698 名他動3 ⓪
0033225900返信 へんしん 回信，回电    0333809 名自動3 ⓪
0033618900ペンチ pinchers 钳子，镊子    0338196 名 ①
0034060500返答 へんとう 回答，答复    0342129 名自動3 ⓪③
0034437800変動 へんどう 变动，变化；动荡    0346555 名自動3 ⓪
0034976000弁論 べんろん 辩论，争辩，在众人面前陈述自己的意见    0351255 名自動3 ⓪
0035716500～歩 ～ほ …步，计算步数的量词    0358013 接尾
0036116900ポイント point 地点，场所；小数点；百分点；得分，分数；点，要点    0362508 名 ⓪
0037105500法 ほう 法律，法规；作法，方法；佛法，道理    0371970 名 ⓪
0037873900棒 ぼう [名]棍子，棍棒；直线；[接头]生吞活剥；只看字面，不问内容    0379838 名 ⓪
0038805700法案 ほうあん 法案，法律的草案    0389381 名 ⓪
0039250500望遠鏡 ぼうえんきょう 望远镜，放大远处物体以便观察的光学仪器    0394162 名 ⓪
0039984900方角 ほうがく 方位，方向；目标    0400840 名 ⓪
0040388800方言 ほうげん 方言，土话    0405151 名 ③⓪
0040730700冒険 ぼうけん 冒险(行事)，做没有把握或成功可能性很小的事    0408759 名自動3 ⓪
0041387400豊作 ほうさく 丰收，农作物收成好    0415422 名 ⓪
0041841100坊さん ぼうさん 和尚，对僧侣的敬称    0420293 名 ⓪
0042346900方式 ほうしき 方式，一定的方法、形式、程序等    0425072 名 ⓪
0042956800方針 ほうしん 方针，指针    0430451 名 ⓪
