0000232900前もって まえもって 事先，预先    0003725 副 ③
0000603600負かす まかす 打败…,战胜    0007286 他動1 ⓪②
0000969900薪 まき 木柴，柴火    0010594 名 ⓪
0001296100幕 まく 账幕，帷幔；场面，时候    0014145 名 ②
0001850200負け まけ 输，败北；降价，打折扣，附赠(的东西)    0019415 名 ⓪
0002495800負け組 まけぐみ (在某一领域或事业中)未成功的团队，败者的一方    0026659 名 ⓪②
0003030700まごつく まごつく 徘徊，彷徨；张皇失措    0032086 自動1 ⓪③
0003620200まごまご まごまご 张皇失措，手忙脚乱    0037480 副自動3 ①
0004074700まこと まこと 真的，事实；真心实意；实在，诚然，的确    0042394 名ナ形 ⓪
0004918700まことに まことに 真，诚然，实在    0051145 副 ⓪
0005424700摩擦 まさつ 摩擦；意见分歧，闹矛盾    0055357 名自他動3 ⓪
0005918100まさに まさに 的确，确实；正好，恰好    0060613 副 ①
0006473600混ざる・交ざる まざる 混杂，夹杂    0066336 自動1 ②
0006891400まして まして 何况，况且    0069824 副 ①
0007194900増す ます (自)增加，增多，增大；(他)增加，提高    0072849 名自他動1 ⓪
0007863400マスク mask 面具，假面；口罩,(防毒)面具，面罩    0079906 名 ①
0008574300マスコミ mass-communication 大众传媒    0087489 名 ⓪
0008934700マスター master 雇主，老板；硕士，学位之一；精通，掌握    0090543 名他動3 ①
0009728000マスメディア mass-media 大众媒体，宣传媒介    0098767 名 ③
0010190000混ぜる・交ぜる まぜる 混入，掺杂    0103331 他動2 ②
0010580100跨ぐ またぐ 跨过，双腿叉开站立    0107072 他動1 ②
0011052500待ち合わせ まちあわせ (在事先约定的场所)等待，会面    0112492 名 ⓪
0011462200間近 まぢか 眼前，跟前；临近，接近，眼看就要…    0115972 名ナ形 ①⓪
0012161600街角 まちかど 街角，街口，街头    0122997 名 ⓪
0012644300町並み まちなみ 街景，临街建筑    0128026 名 ⓪
0013074900待ち望む まちのぞむ 盼望，殷切希望    0132399 自動1 ④
0013523200マッサージ massage 按摩，推拿(以去除疲劳)    0136820 名他動3 ③
0013927900真とも まとも 认真，正经；正面，迎面    0140963 名ナ形 ⓪
0014546800マナー manner 态度，举止；礼节，礼貌；方法，规矩    0146896 名 ①
0015321300マニュアル manual 手册，指南，使用说明书    0154546 名 ①
0015899000招き まねき 邀请，招待；招牌    0160428 名 ③
0016373600瞼 まぶた 眼睑，眼皮    0165062 名 ①
0016754500豆 まめ 豆子，豆科植物，豆类的统称；[街头](后接名词)小型，秀珍    0168801 名 ②
0017537200まめに まめに 认真，诚实，表里如一；勤恳，勤奋；健康，健壮    0176716 名ナ形 ⓪
0018494300眉 まゆ 眉毛，眉黛    0185943 名 ①
0018812100丸ごと まるごと 完整，全部，整个儿地    0189437 副 ⓪
0019280300丸々 まるまる 双重圈；某某…,空字，隐字的符号；胖墩墩，圆乎乎；全部，整个，完全    0194067 副 ⓪③
0020493300稀 まれ 稀罕，稀奇    0206257 ナ形 ⓪②
0020857300回り道 まわりみち 绕道，绕远    0210291 名自動3 ⓪
0021287000～回る ～まわる (接在动词连用形后)到处…,在…周围做    0214179 接尾
0021777500万一 まんいち 万分之一，表示及其不可能的事情；万一，假若，倘若    0219259 名副 ①
0022701400饅頭 まんじゅう 包子，点心    0228341 名 ③
0023050200真ん前 まんまえ 眼前，就在眼前，正前方    0231959 名 ③
0023601100身 み 身体，身子；身份；地位，立场    0236787 名 ⓪
0024374600実 み 果实，成果；种子；内容    0244462 名 ⓪
0024925400未～ み～ 未，没，尚未    0249906 接頭
0025319300見合い みあい 对视，互相看对方；相亲；相抵，协调，平衡    0254617 名自動3 ⓪
0026154100ミーティング meeting 会议，集会    0263072 名 ⓪
0026529400見落とす みおとす 看漏，忽略    0266864 他動2 ⓪③
0026891900見覚え みおぼえ 眼熟，仿佛见过    0270476 名 ⓪
0027311000見下ろす みおろす 往下看，俯视；蔑视，轻视，小瞧    0274132 他動1 ⓪③
0027944300味方 みかた 我方，同伙，伙伴    0280886 名 ⓪
0028390800三日月 みかづき 新月，月牙，阴历每月三日出现的月亮    0285568 名 ⓪
0029080600岬 みさき 海角，岬    0292209 名 ⓪
0029463900ミシン sewing-machine 缝纫机，齿孔    0295781 名 ①
0029824200水色 みずいろ 淡蓝色，水蓝色    0299370 名 ⓪
0030224800自ら みずから 自己，自我；亲自，亲身    0303471 名副 ①
0030773300水っぽい みずっぽい 水分多而味淡的，淡而无味的    0309211 イ形 ④⓪
0031325600見捨てる みすてる 抛弃，遗弃；视而不见，弃之不顾    0314716 他動2 ⓪③
0031935400店屋 みせや 商店，店铺    0320263 名 ②
0032249600見出し みだし 标题，题目；目录，索引    0323494 名 ⓪
0032784200満たす みたす 充满，填满；满足    0328964 他動1 ②
0033216600みだりに みだりに 随意，任意；轻率，鲁莽    0333628 副 ①
